CAS#,Pollutant,Multimedia Factor Chemicals,Persistent Bioaccumulative Toxicants,Respiratory Sensitizers,Developmental Toxicants
111-90-0   ,Diethylene Glycol Monoethyl Ether   ,,,,
75-37-6,"Difluoroethane, 1,1-",,,,
108-20-3   ,Diisopropyl Ether   ,,,,X
60-11-7,Dimethyl aminoazobenzene,,,,X
68-12-2,Dimethyl formamide,,,,
108-01-0,"Dimethylamino ethanol, 2-",,,,
57-97-6,"Dimethylbenz[a]anthracene, 7,12-",,,,
57-14-7,"Dimethylhydrazine, 1,1-",X,X,,
42397-64-8,"Dinitropyrene, 1,6- (BaP)",,,,
42397-65-9,"Dinitropyrene, 1,8- (BaP)",,,,
121-14-2,"Dinitrotoluene, 2,4-",,,,
123-91-1,"Dioxane, 1,4- (1,4-Diethylene dioxide)",,,,
122-66-7,"Diphenylhydrazine, 1,2-",,,,
106-89-8,"Epichlorohydrin (l-Chloro-2,3-epoxypropane)",,,,
106-88-7,"Epoxybutane, 1,2-",,,,
141-78-6,Ethyl acetate,,,,
140-88-5,Ethyl Acrylate,,,,
110-80-5,"Ethoxyethanol, 2- (ethylene glycol monoethyl ether)",,,,
100-41-4,Ethyl benzene,,,,X
51-79-6,Ethyl carbamate (Urethane),,,,X
75-00-3,Ethyl chloride (Chloroethane),,,,
97-63-2   ,Ethyl Methacrylate   ,,,,X
106-93-4,Ethylene dibromide (Dibromoethane),,,,X
107-06-2,"Ethylene dichloride (1,2-Dichloroethane)",,,,
107-21-1,Ethylene glycol,,,,
75-21-8,Ethylene oxide,,,,
96-45-7,Ethylene thiourea,,,,
75-34-3,"Ethylidene dichloride (1,1-Dichloroethane)",,,,
206-44-0,Fluoranthene,,,,
1101,Fluorides (except hydrogen fluoride),,,,
50-00-0,Formaldehyde,,,,
64-18-6   ,Formic Acid   ,,,,
111-30-8,Glutaraldehyde,,,,
0-01-2,Glycol ethers,,,X,
76-44-8,Heptachlor,,,,
1024-57-3,Heptachlor epoxide,,,,
00-08-5,"Heptachlorodibenzodioxin, All Isomers",X,X,,
67562-39-4,"Heptachlorodibenzofuran, 1,2,3,4,6,7,8-",X,X,,
55673-89-7,"Heptachlorodibenzofuran, 1,2,3,4,7,8,9-",X,X,,
00-08-4,"Heptachlorodibenzofuran, All Isomers",X,X,,
35822-46-9,"Heptachlorodibenzo-p-dioxin, 1,2,3,4,6,7,8-",X,X,,
118-74-1,Hexachlorobenzene,X,X,,
87-68-3,Hexachlorobutadiene,,,,
608-73-1,Hexachlorocyclohexane (technical grade) ,,,,
319-84-6,"Hexachlorocyclohexane, alpha-",,,,
319-85-7,"Hexachlorocyclohexane, beta-1,2,3,4,5,6-",,,,
77-47-4,Hexachlorocyclopentadiene,,,,
00-08-3,"Hexachlorodibenzodioxins, All Isomers",X,X,,
70648-26-9,"Hexachlorodibenzofuran, 1,2,3,4,7,8-",X,X,,
57117-44-9,"Hexachlorodibenzofuran, 1,2,3,6,7,8-",X,X,,
72918-21-9,"Hexachlorodibenzofuran, 1,2,3,7,8,9-",X,X,,
60851-34-5,"Hexachlorodibenzofuran, 2,3,4,6,7,8-",X,X,,
00-08-2,"Hexachlorodibenzofurans, All Isomers",X,X,,
39227-28-6,"Hexachlorodibenzo-p-dioxin, 1,2,3,4,7,8-",X,X,,
57653-85-7,"Hexachlorodibenzo-p-dioxin, 1,2,3,6,7,8-",X,X,,
19408-74-3,"Hexachlorodibenzo-p-dioxin, 1,2,3,7,8,9-",X,X,,
67-72-1,Hexachloroethane,,,,
822-06-0,"Hexamethylene-1,6-diisocyanate",,,,
110-54-3,Hexane,,,X,
591-78-6,Hexanone-2,,,,
302-01-2,Hydrazine,,,,
10034-93-2,Hydrazine sulfate,,,,
7647-01-0,Hydrochloric acid (hydrogen chloride),,,,
74-90-8,Hydrogen cyanide,,,,
7664-39-3,Hydrogen fluoride (Hydrofluoric acid),,,,
7783-07-5,Hydrogen selenide,,,,
7783-06-4,Hydrogen sulfide,,,,
193-39-5,"Indeno(1,2,3-cd)pyrene",,,,
78-59-1,Isophorone,X,X,,
67-63-0,Isopropyl alcohol,,,,
7439-92-1,Lead,,,,
7758-97-6,Lead Chromate,X,X,,
0-01-3,Lead Compounds,,,,
58-89-9,Lindane (all isomers),X,X,,
00-07-8,m- and p-Xylenes,,,,
108-31-6,Maleic anhydride,,,,
7439-96-5,Manganese,,,X,
0-01-4,Manganese Compounds,,,,
1313-13-9,Manganese Dioxide,,,,
7439-97-6,Mercury (elemental),,,,
0-02-3,Mercury Compounds,X,X,,X
126-98-7,Methacrylonitrile,X,X,,X
67-56-1,Methanol,,,,
109-86-4,"Methoxyethanol, 2- (ethylene glycol monomethyl ether EGME)",,,,
96-33-3,Methyl acrylate,,,,X
74-83-9,Methyl bromide (Bromomethane),,,,
110-49-6,Methyl Cellosolve Acetate,,,,
74-87-3,Methyl chloride (Chloromethane),,,,
71-55-6,"Methyl chloroform (1,1,1-Trichloroethane)",,,,
78-93-3,Methyl ethyl ketone (2-Butanone),,,,
60-34-4,Methyl Hydrazine,,,,
108-10-1,Methyl isobutyl ketone (Hexone),,,,
624-83-9,Methyl isocyanate,,,,
80-62-6,Methyl methacrylate,,,,
1634-04-4,Methyl tert butyl ether,,,,
56-49-5,"Methylcholanthrene, 3-",,,,
3697-24-3,"Methylchrysene, 5-",X,X,,
101-14-4,"Methylene bis(2-chloroaniline), 4,4-",,X,,
74-95-3,Methylene Bromide,,,,
75-09-2,Methylene chloride (Dichloromethane),,,,
101-68-8,Methylene diphenyl diisocyanate (MDI),,,,
101-77-9,"Methylenedianiline, 4,4-",,,X,
90-94-8,Michler's ketone,,,,
10595-95-6,N- Nitrosomethylethylamine,,,,
64724-95-6   ,"Naphtha, High Flash Aromatic (HFAN)   ",,,,
91-20-3,Naphthalene,,,,X
193-09-9,"Naphtho[2,3-e]pyrene",,,,
7440-02-0,Nickel,,,,
0-01-5,Nickel Compounds,,,X,
1313-99-1,Nickel oxide,,,X,
0-02-5,Nickel refinery dust from the pyrometallurgical process,,,X,
12035-72-2,Nickel sulfide (NI3S2),,,X,
7697-37-2,Nitric acid,,,X,
602-87-9,"Nitroacenaphthene, 5-",,,,
88-74-4,"Nitroaniline, 2-   ",,,,
100-01-6   ,"Nitroaniline, 4-   ",,,,
98-95-3,Nitrobenzene,,,,
7496-02-8,"Nitrochrysene, 6-",,,,
607-57-8,"Nitrofluorene, 2-",,X,,
10102-44-0,Nitrogen oxide (NO2),,,,
75-52-5,Nitromethane,,,,
79-46-9,"Nitropropane, 2-",,,,
5522-43-0,"Nitropyrene, 1-",,,,
57835-92-4,"Nitropyrene, 4-",,X,,
156-10-5,"Nitrosodiphenylamine, p-",,,,
55-18-5,N-Nitrosodiethylamine,,,,
62-75-9,N-Nitrosodimethylamine,,,,
924-16-3,N-Nitrosodi-n-butylamine,,,,
621-64-7,N-Nitrosodi-n-propylamine,,,,
86-30-6,N-Nitrosodiphenylamine,,,,
59-89-2,N-Nitrosomorpholine,,,,
100-75-4,N-Nitrosopiperidine,,,,
111-84-2,N-Nonane,,,,
39001-02-0,"Octachlorodibenzofuran, 1,2,3,4,6,7,8,9-",,,,X
3268-87-9,"Octachlorodibenzo-p-dioxin, 1,2,3,4,6,7,8,9-",X,X,,
10028-15-6,Ozone,X,X,,
00-08-1,"Pentachlorodibenzodioxins, All Isomers",X,X,,
57117-41-6,"Pentachlorodibenzofuran, 1,2,3,7,8-",X,X,,
57117-31-4,"Pentachlorodibenzofuran, 2,3,4,7,8-",X,X,,
00-09-0,"Pentachlorodibenzofurans, All Isomers",X,X,,
40321-76-4,"Pentachlorodibenzo-p-dioxin, 1,2,3,7,8-",X,X,,
87-86-5,Pentachlorophenol,X,X,,
109-66-0    ,"Pentane, n-   ",,,,
00-07-7,"Petroleum Hydrocarbons, Aliphatic (C7 - C11)",,,,
85-01-8,Phenanthrene,,,,
108-95-2,Phenol,,X,,
75-44-5,Phosgene,,,,
7803-51-2,Phosphine,,,,
7664-38-2,Phosphoric acid,,,,
85-44-9,Phthalic anhydride,,,,
1336-36-3,Polychlorinated biphenyls (Aroclors unspeciated),,,X,
32598-13-3,"PCB 77 (3,3,4,4-Tetrachlorobiphenyl)",X,X,,
70362-50-4,"PCB 81 (3,4,4,5 Tetrachlorobiphenyl)",X,X,,
32598-14-4,"PCB105 (2,3,3,4,4 Pentachlorobiphenyl)",X,X,,
74472-37-0,"PCB 114 (2,3,4,4,5 Pentachlorobiphenyl)",X,X,,
31508-00-6,"PCB 118 (2,3,4,4,5 Pentachlorobiphenyl)",X,X,,
65510-44-3,"PCB 123 (2,3,4,4,5 Pentachlorobiphenyl)",X,X,,
57465-28-8,"PCB 126 (3,3,4,4,5 Pentachlorobiphenyl)",X,X,,
38380-0804,"PCB 156 (2,3,3,4,4,5 Hexachlorobiphenyl)",X,X,,
69782-90-7,"PCB 157 (2,3,3,4,4,5 Hexachlorobiphenyl)",X,X,,
52663-72-6,"PCB 167 (2,3,4,4,5,5 Hexachlorobiphenyl)",X,X,,
32774-16-6,"PCB 169 (3,3,4,4,5,5 Hexachlorobiphenyl) ",X,X,,
39635-31-9,"PCB 189 (2,3,3,4,4,5,5 Heptachlorobiphenyl)",X,X,,
00-05-0,"Polychlorinated Dibenzodioxins, Total",X,X,,
00-05-1,"Polychlorinated Dibenzofurans, Total",,,,
00-08-0,"Polychlorinated Dibenzo-P-Dioxins And Furans, Total",,,,
130498-29-2,Polycyclic Aromatic Hydrocarbons (PAH),,,,
00-01-7,Polycyclic Organic Matter (POM),,X,,
9016-87-9,Polymeric diphenylmethane diisocyanate,,,,
7758-01-2,Potassium bromate,,,X,
1120-71-4,"Propane sultone, 1,3-",,,,
123-38-6,Propionaldehyde,,,,
115-07-1,Propylene,,,,
78-87-5,"Propylene dichloride (1,2-Dichloropropane)",,,,
107-98-2,Propylene Glycol Monomethyl Ether,,,,
75-56-9,Propylene oxide,,,,
930-55-2,"Pyrrolidine, 1-Nitroso- ",,,,X
7782-49-2,Selenium  ,,,,
0-01-9,Selenium Compounds,,,,
7631-86-9,"Silica (crystalline, respirable, PM4)",,,,
1310-73-2,Sodium hydroxide,,,,
7789-06-2,Strontium chromate,,,,
100-42-5,Styrene,,,,
14808-79-8,Sulfates,,,,
126-33-0,Sulfolane,,,,
7664-93-9,Sulfuric acid (aerosol forms only),,,,
8014-95-7,Sulfuric Acid mixture w. sulfur trioxide (oleum),,,,
7446-09-5,Sulfur dioxide,,,,
00-09-1,"TCDD Eqivalents, 2,3,7,8-",,,,
00-08-8,"Tetrachlorodibenzodioxins, All Isomers",X,X,,
51207-31-9,"Tetrachlorodibenzofuran, 2,3,7,8-",X,X,,
00-08-6,"Tetrachlorodibenzofurans, All Isomers",X,X,,
1746-01-6,"Tetrachlorodibenzo-p-dioxin, 2,3,7,8-",X,X,,
630-20-6,"Tetrachloroethane, 1,1,1,2-",X,X,,
79-34-5,"Tetrachloroethane, 1,1,2,2-",,,,
127-18-4,Tetrachloroethylene (Perchloroethylene),,,,
811-97-2,"Tetrafluoroethane, 1,1,1,2-",,,,
109-99-9,Tetrahydrofuran,,,,
62-55-5,Thioacetamide,,,,
108-88-3,Toluene,,,,
95-80-7,"Toluene diamine, 2,4-",,,,
584-84-9,"Toluene diisocyanate, 2,4-",,,,
91-08-7,"Toluene-2,6-diisocyanate",,,,
26471-62-5,Toluenediisocyanate (mixed isomers),,,,
8001-35-2,Toxaphene (chlorinated camphene),,,X,
120-82-1,"Trichlorobenzene, 1,2,4-",,,X,
79-00-5,"Trichloroethane, 1,1,2-",,,,
79-01-6,Trichloroethylene,,,,
75-69-4,Trichlorofluoromethane (CFC-11),,,,X
88-06-2,"Trichlorophenol, 2,4,6-",,,,
96-18-4,"Trichloropropane, 1,2,3-",,,,
96-19-5   ,"Trichloropropene, 1,2,3-   ",,,,
121-44-8,Triethylamine,,,,
526-73-8    ,"Trimethylbenzene, 1,2,3-   ",,,,
95-63-6    ,"Trimethylbenzene, 1,2,4-   ",,,,
1314-62-1,"Vanadium Pentoxide, (V2O5)",,,,
108-05-4,Vinyl acetate,,,,
593-60-2,Vinyl bromide,,,,
75-01-4,Vinyl chloride,,,,
1330-20-7,Xylenes,,,,
108-38-3,"Xylenes, m-",,,,
95-47-6,"Xylenes, o-",,,,
106-42-3,"Xylenes, p-",,,,
13530-65-9,Zinc chromate,,,,
